88.00	.29	78.00	.71
26.00	.82	34.00	.18
31.00	.59	63.00	.41
51.00	.07	35.00	.93
13.00	.48	70.00	.52
41.00	.63	18.00	.37
70.00	.17	65.00	.83
76.00	.98	37.00	.02
26.00	.37	64.00	.63
43.00	.19	5.00	.81
43.00	.91	96.00	.09
69.00	.33	56.00	.67
24.00	.99	53.00	.01
47.00	.24	27.00	.76
56.00	.09	19.00	.91
72.00	.88	29.00	.12
37.00	.61	50.00	.39
76.00	.90	69.00	.10
57.00	.69	40.00	.31
53.00	.01	99.00	.99
52.00	.12	73.00	.88
40.00	.38	55.00	.62
66.00	.16	23.00	.84
100.00	.31	48.00	.69
60.00	.05	76.00	.95
1.00	.62	83.00	.38
54.00	.80	21.00	.20
24.00	.34	59.00	.66
30.00	.19	97.00	.81
62.00	.74	.00	.26
31.00	.99	68.00	.01
37.00	.76	5.00	.24
65.00	.74	6.00	.26
82.00	.08	72.00	.92
79.00	.88	82.00	.12
63.00	.56	21.00	.44
86.00	.93	27.00	.07
68.00	.61	39.00	.39
41.00	.68	65.00	.32
.00	.00	46.00	1.00
80.00	.91	19.00	.09
75.00	.73	34.00	.27
77.00	.87	72.00	.13
63.00	.92	5.00	.08
56.00	.05	72.00	.95
84.00	.25	43.00	.75
32.00	.78	99.00	.22
83.00	.09	67.00	.91
54.00	.08	31.00	.92
39.00	.04	28.00	.96
14.00	.44	72.00	.56
39.00	.31	51.00	.69
45.00	.10	14.00	.90
44.00	.51	38.00	.49
85.00	.33	60.00	.67
30.00	.68	67.00	.32
15.00	.49	50.00	.51
68.00	.52	90.00	.48
65.00	.63	74.00	.37
7.00	.28	74.00	.72
-23.00	.33	-29.00	.67
-3.00	.76	-92.00	.24
-40.00	.82	-90.00	.18
-89.00	.30	-72.00	.70
-51.00	.13	-56.00	.87
-61.00	.96	-56.00	.04
-59.00	.44	.00	.56
-94.00	.25	-37.00	.75
-15.00	.16	-67.00	.84
-26.00	.51	-76.00	.49
-1.00	.49	-54.00	.51
-49.00	.73	-75.00	.27
-46.00	.60	-21.00	.40
-67.00	.29	-28.00	.71
-4.00	.56	-80.00	.44
-77.00	.77	-62.00	.23
-22.00	.38	-15.00	.62
-6.00	.56	-59.00	.44
-91.00	.37	-33.00	.63
-73.00	.61	-58.00	.39
-54.00	.09	-41.00	.91
-25.00	.29	-86.00	.71
-55.00	.93	-17.00	.07
-37.00	.45	-34.00	.55
-19.00	.13	-56.00	.87
-8.00	.66	-95.00	.34
-23.00	.33	-96.00	.67
-73.00	.73	-54.00	.27
-75.00	.03	-27.00	.97
-59.00	.48	-2.00	.52
-50.00	.58	-54.00	.42
-29.00	.13	-76.00	.87
-68.00	.19	-46.00	.81
-57.00	.84	-90.00	.16
-58.00	.97	-65.00	.03
-96.00	.99	-2.00	.01
-85.00	.59	-7.00	.41
-58.00	.56	-80.00	.44
-72.00	.65	-8.00	.35
-41.00	.59	-57.00	.41
-96.00	.63	-38.00	.37
-98.00	.04	-25.00	.96
-21.00	.50	-77.00	.50
-67.00	.79	-37.00	.21
-60.00	.40	-82.00	.60
-60.00	.21	-16.00	.79
-15.00	.48	-91.00	.52
-15.00	.04	-60.00	.96
-24.00	.99	-13.00	.01
-35.00	.39	-72.00	.61
-33.00	.76	-53.00	.24
-55.00	.43	-53.00	.57
-100.00	.75	-84.00	.25
-93.00	.53	-26.00	.47
-55.00	.59	-77.00	.41
-58.00	.66	-68.00	.34
-29.00	.86	-30.00	.14
-83.00	.32	-19.00	.68
-9.00	.56	-56.00	.44
-66.00	.49	-92.00	.51
27.00	.15	-55.00	.85
73.00	.82	-19.00	.18
.00	.00	-48.00	1.00
63.00	.57	-47.00	.43
58.00	.48	-5.00	.52
79.00	.07	-28.00	.93
63.00	.57	-91.00	.43
40.00	.27	-38.00	.73
92.00	.06	-66.00	.94
79.00	.76	-88.00	.24
82.00	.14	-26.00	.86
54.00	.94	-82.00	.06
56.00	.05	-56.00	.95
52.00	.63	-8.00	.37
25.00	.93	-7.00	.07
16.00	.19	-42.00	.81
9.00	.27	-31.00	.73
96.00	.08	-73.00	.92
72.00	.75	-38.00	.25
36.00	.76	-25.00	.24
98.00	.21	-70.00	.79
76.00	.86	-92.00	.14
93.00	.14	-91.00	.86
26.00	.69	-44.00	.31
56.00	.74	-76.00	.26
96.00	.72	-59.00	.28
17.00	.96	-48.00	.04
59.00	.57	-97.00	.43
2.00	.62	-49.00	.38
76.00	.39	-7.00	.61
71.00	.44	-95.00	.56
31.00	.97	-20.00	.03
30.00	.03	-51.00	.97
19.00	.05	-33.00	.95
98.00	.50	-24.00	.50
19.00	.61	-70.00	.39
.00	.00	-55.00	1.00
45.00	.13	-78.00	.87
83.00	.14	-39.00	.86
95.00	.93	-55.00	.07
10.00	.39	-72.00	.61
89.00	.55	-52.00	.45
55.00	.70	-76.00	.30
25.00	.27	-61.00	.73
85.00	.56	-22.00	.44
43.00	.42	-44.00	.58
13.00	.60	-1.00	.40
88.00	.12	-90.00	.88
28.00	.09	-33.00	.91
27.00	.11	-31.00	.89
98.00	.30	-70.00	.70
81.00	.41	-100.00	.59
72.00	.55	-55.00	.45
96.00	.61	-67.00	.39
67.00	.99	-3.00	.01
77.00	.74	-23.00	.26
27.00	.87	-13.00	.13
75.00	.93	-90.00	.07
1.00	.27	-85.00	.73
85.00	.73	-22.00	.27
